{'description': {'en': 'gentoo overlay containing games ebuilds only'},
 'feed': ['https://github.com/hasufell/games-overlay/commits/master.atom'],
 'homepage': 'https://github.com/hasufell/games-overlay',
 'name': 'games-overlay',
 'owner': [{'email': 'hasufell@gentoo.org',
            'name': 'Julian Ospald',
            'type': 'person'}],
 'quality': 'experimental',
 'source': [{'type': 'git',
             'uri': 'git://github.com/hasufell/games-overlay.git'}],
 'status': 'unofficial'}
$ pmaint sync games-overlay
WARNING:pkgcore:repository at '/home/mgorny/repos/steveeJ' has unsupported profile format(s): 'profile-set'
WARNING:pkgcore:repository at '/home/mgorny/repos/steveeJ' has unsupported profile format(s): 'profile-set'
From git://github.com/hasufell/games-overlay
   a86b0a1..6ebb8be  master     -> origin/master
Updating a86b0a1..6ebb8be
Fast-forward
 app-eselect/eselect-renpy/eselect-renpy-0.1.ebuild                      | 2 +-
 games-simulation/openttd/openttd-1.4.4.ebuild                           | 2 +-
 games-strategy/0ad-data/0ad-data-0.0.17_alpha.ebuild                    | 2 +-
 games-strategy/0ad-data/0ad-data-0.0.18_alpha.ebuild                    | 2 +-
 games-strategy/0ad/0ad-0.0.17_alpha.ebuild                              | 2 +-
 games-strategy/0ad/0ad-0.0.18_alpha.ebuild                              | 2 +-
 games-strategy/dunelegacy/dunelegacy-0.96.3.ebuild                      | 2 +-
 games-strategy/freeciv/freeciv-2.4.3.ebuild                             | 2 +-
 games-strategy/freeciv/freeciv-2.4.4.ebuild                             | 2 +-
 games-strategy/freeciv/freeciv-2.5.0-r2.ebuild                          | 2 +-
 games-strategy/freecol/freecol-0.11.2.ebuild                            | 2 +-
 games-strategy/freecol/freecol-0.11.3.ebuild                            | 2 +-
 games-strategy/freecol/freecol-0.11.5.ebuild                            | 2 +-
 games-strategy/freeorion/freeorion-0.4.4.ebuild                         | 2 +-
 games-strategy/freeserf/freeserf-0.1.1.ebuild                           | 2 +-
 games-strategy/freeserf/freeserf-9999.ebuild                            | 2 +-
 games-strategy/freesynd/freesynd-0.7.1.ebuild                           | 2 +-
 games-strategy/freesynd/freesynd-9999.ebuild                            | 2 +-
 games-strategy/hedgewars/hedgewars-0.9.20.5.ebuild                      | 2 +-
 games-strategy/hedgewars/hedgewars-0.9.21-r1.ebuild                     | 2 +-
 games-strategy/hedgewars/hedgewars-0.9.21.1-r1.ebuild                   | 2 +-
 games-strategy/ja2-stracciatella-data/ja2-stracciatella-data-1.ebuild   | 2 +-
 .../ja2-stracciatella/ja2-stracciatella-0.12.1_p7072-r1.ebuild          | 2 +-
 games-strategy/liquidwar6/liquidwar6-0.4.3681.ebuild                    | 2 +-
 games-strategy/liquidwar6/liquidwar6-0.6.3902.ebuild                    | 2 +-
 games-strategy/megaglest-data/megaglest-data-3.11.0.ebuild              | 2 +-
 games-strategy/megaglest-data/megaglest-data-3.11.1.ebuild              | 2 +-
 games-strategy/megaglest-data/megaglest-data-3.9.1.ebuild               | 2 +-
 games-strategy/megaglest/megaglest-3.11.0.ebuild                        | 2 +-
 games-strategy/megaglest/megaglest-3.11.1.ebuild                        | 2 +-
 games-strategy/megaglest/megaglest-3.9.1-r1.ebuild                      | 2 +-
 games-strategy/opendungeons-data/opendungeons-data-9999.ebuild          | 2 +-
 games-strategy/opendungeons/opendungeons-9999.ebuild                    | 2 +-
 games-strategy/openra/openra-20141029.ebuild                            | 2 +-
 games-strategy/openra/openra-20150424-r1.ebuild                         | 2 +-
 games-strategy/s25rttr/s25rttr-0.8.1.ebuild                             | 2 +-
 games-strategy/uqm/uqm-0.7.0-r2.ebuild                                  | 2 +-
 games-strategy/wargus-data/wargus-data-0.ebuild                         | 2 +-
 games-strategy/wargus/wargus-2.2.7.ebuild                               | 2 +-
 games-strategy/wesnoth/wesnoth-1.12.4.ebuild                            | 2 +-
 games-strategy/wesnoth/wesnoth-1.13.1.ebuild                            | 2 +-
 games-strategy/widelands/widelands-0.17.ebuild                          | 2 +-
 games-strategy/zod-engine-data/zod-engine-data-20110906.ebuild          | 2 +-
 games-strategy/zod-engine/zod-engine-20110906-r1.ebuild                 | 2 +-
 games-util/deutex/deutex-4.4.902.ebuild                                 | 2 +-
 games-util/osavul/osavul-1.1.1.ebuild                                   | 2 +-
 202 files changed, 202 insertions(+), 202 deletions(-)
*** syncing games-overlay
*** synced games-overlay
 * Sync succeeded
$ pmaint regen -t 2 games-overlay
WARNING:pkgcore:repository at '/home/mgorny/repos/steveeJ' has unsupported profile format(s): 'profile-set'
WARNING:pkgcore:repository at '/home/mgorny/repos/steveeJ' has unsupported profile format(s): 'profile-set'
 * Cache regenerated successfully
